 60,999, 60,999, 60,999, 60,999, 60,999, -1, -1, -1, -1, -1, -1
999,999,999,990, -1, -1,999,999,999,999, -1, -1, -1,101, -1, -1
 60,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
999,999, -1, 60,999, 60,999, 60,999, -1, -1, -1, -1, -1, -1, -1
 60,999, -1,999,999,999,999,999,999, -1, -1, -1, -1, -1, -1, -1
999,999, -1, -1, -1, -1, -1, 60,999, 60,999, 60,999, -1, -1,133
 60,999, 60,999, 60,999, -1,999,999,999,999,999,999, -1, 60,999
999,999,999,999,999,999, -1, -1, -1, -1, -1, 60,999, -1,999,999
 60,999, -1, -1, -1, 60,999, 60,999, -1, -1,999,999, -1, 60,999
999,999, -1, -1, -1,999,999,999,999, -1, -1, -1, -1, -1,999,999
 60,999, -1, 50, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 60,999
999,999, -1, 60,999, 60,999, 60,999, 60,999, 60,999, -1,999,999
 60,999, -1,999,999,999,999,999,999,999,999,999,999, -1, 60,999
999,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,999,999
 -1, -1, -1, -1, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999
 -1, -1,  7, -1,999,999,999,999,999,999,999,999,999,999, -1, -1
 -1, -1,990, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
