310,310,310,310,310,310,310,310,310,310,310,310,310
 -1, -1,309, -1, -1, -1, -1, -1, -1, -1, -1,990, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,311,999
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1,  7, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1,990, -1, -1, -1, -1, -1, -1, -1, -1, -1
