 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,205, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 60,999, 60,999, 60,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,115, -1, -1, -1, -1, -1, -1, -1, -1, -1, 60,999, 60,999, 60,999
999,999,999,999,999,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,999,999,999,999,999,999
 60,999, 60,999, 60,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 60,999, 60,999, 60,999
999,999,999,999,999,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,314, -1, -1, -1, -1, -1, -1, -1, -1, -1,999,999,999,999,999,999
 60,999, 60,999, 60,999, -1, -1,999,999,999,999,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 60,999, 60,999, 60,999
999,999,999,999,999,999, -1, -1,999, -1,300, -1,999, -1, -1, -1, -1, -1,999,999,999,999,999,999,999, -1,999,999,999,999,999,999
 60,999, 60,999, 60,999, -1, -1,999,990,999,999,999, -1, -1, -1, -1, -1,999, -1, -1,301, -1, -1,999, -1, 60,999, 60,999, 60,999
999,999,999,999,999,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,999,999,999,990,999,999,999, -1,999,999,999,999,999,999
 60,999, 60,999, 60,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 60,999, 60,999, 60,999
999,999,999,999,999,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,999,999,999,999,999,999
 60,999, 60,999, 60,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 60,999, 60,999, 60,999
999,999,999,999,999,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,999,999,999,999,999,999
 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999,130,129, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999, 61, 61,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 61, 61, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999, 61, 61,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 61, 61, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999, 61, 61,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 61, 61, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999
999,999,999,999,999,999,999,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,999,999,999,999,999,999,999,999,999,999
 60,999, 60,999, 60,999, 60,999, -1,135, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 60,999, 60,999, 60,999, 60,999, 60,999
999,999,999,999,999,999,999,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,999,999,999,999,999,999,999,999,999,999
 60,999, 60,999, 60,999, 60,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 60,999, 60,999, 60,999, 60,999, 60,999
999,999,999,999,999,999,999,999, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,999,999,999,999,999,999,999,999,999,999
 60,999, 60,999, 60,999, 60,999, 60,999, 60,999,999,999,990,999,999, -1, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,206,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999, 60,999
999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
